time_signature  energy    danceability  tempo    duration   key  liveness  speechiness  instrumentalness loudness name 			    		   type
4 		0.630598  0.828165 	130.001  243.8      9    0.042858  0.034684 	0.092013 	-7.537    "Smooth Operator" 		           rap
4 		0.681985  0.471421 	102.815  145.18812  10   0.348015  0.344977 	0.035761 	-7.749    "Calm Down" 				   rap
4 		0.742209  0.807443      98.818   226.56     10   0.244069  0.179063     0.0 		-5.167    "Lower The Boom" 			   rap
4 		0.843736  0.837611      102.887  206.71166  11   0.385909  0.316304     1e-06 		-5.175    "Time 4 Sumaksion" 			   rap
4		0.533271  0.754853      93.861   326.26939  10   0.146966  0.243784     0.009564 	-14.81    "Shook Ones, Pt. II" 			   rap
4 		0.792834  0.775198      123.444  263.99955  4    0.100714  0.189976     0.0 		-8.502    "I'll House You" 			   rap
4 		0.792002  0.416051      177.743  234.35274  9    0.848405  0.178668     0.015335 	-8.3      "Black Steel In The Hour Of Chaos" 	   rap
4 		0.80756   0.782169      134.254  242.41333  10   0.509948  0.152928     3e-06 		-5.51     "Overnight Celebrity" 		   rap
4 		0.681985  0.471421      102.815  145.18812  10   0.348015  0.344977     0.035761 	-7.749    "Calm Down" 				   rap
4 		0.884208  0.716343      94.21    253.53333  6    0.331123  0.236281     1e-06 		-3.686    "Still Not A Player" 			   rap
4 		0.901957  0.626579      101.999  173.70667  11   0.120738  0.036831     0.0 		-2.212    "How I Could Just Kill A Man" 	   rap
4 		0.885026  0.246408      127.339  304.02667  0    0.195032  0.051977     0.865476 	-8.81     "Love Me Like A Reptile"		   metal
4 		0.719666  0.291479      141.946  225.63338  6    0.161132  0.120089     0.958936 	-7.451    "Stop Me"			           metal
4 		0.921959  0.480424      80.036   159.56     7    0.193223  0.063813     0.885184 	-4.759    "Breaking the Law"			   metal
4 		0.949402  0.359743      138.769  304.73333  10   0.147775  0.210072     0.511166 	-3.991    "A Dangerous Meeting"			   metal
4 		0.936418  0.383331      117.098  206.06667  2    0.06838   0.097632     0.073004 	-6.261    "Ratamahatta"				   metal
4 		0.893472  0.427444 	102.331  301.6	    10 	 0.252756  0.062562     0.048443 	-11.095   "Metal Church"			   metal
4 		0.977346  0.526226 	97.97    196.64	    8    0.294688  0.07642      0.053414 	-3.256    "Fire & Damnation" 			   metal
4 		0.938371  0.400036 	154.058  239.89333  9    0.658953  0.082273     0.000354 	-5.942    "Thundersteel" 			   metal
4 		0.673949  0.723016 	114.603  127.2      10   0.111568  0.240335     0.004834 	-7.261    "One Man Army" 			   metal
4 		0.961416  0.554395 	126.099  255.82667  6    0.097998  0.063725     0.000136 	-3.192    "King of the Kill" 			   metal
3 		0.933777  0.190085 	98.355   243.29868  1    0.399143  0.056109     0.107207 	-7.796    "Immortal Rites" 			   metal
4 		0.860754  0.541887 	94.996   209.68245  11   0.326013  0.028053     0.565271 	-6.573    "Raining Blood" 			   metal
4 		0.978801  0.51119 	88.011   267.02902  11   0.068883  0.129235     0.002895 	-4.463    "Midgards Guardian"			   metal
4 		0.85986   0.203631 	131.587  410.53333  8    0.310828  0.054176     0.886329 	-12.73    "Beneath a December Twilight" 	   metal
