time_signature; energy; danceability; tempo; duration; key; liveness; speechiness; instrumentalness; loudness; acousticness; valence; song_hotttnesss;song_name; artist_name; genre
4 ; 0.024953 ; 0.406588 ; 91.959 ; 397.42621 ; 11 ; 0.099804 ; 0.050364 ; 0.897462 ; -24.41 ; 0.993951 ; 0.110813 ; 0.0598 ; Klavierstuck Op. posth.--Schubert ; John Strauss ; classical
3 ; 0.030355 ; 0.10253 ; 90.529 ; 480.53333 ; 11 ; 0.103693 ; 0.041058 ; 0.916033 ; -27.21 ; 0.962515 ; 0.03512 ; 0.141103 ; Idylle Printemps ; Frederick Delius ; classical
4 ; 0.224514 ; 0.278963 ; 96.72 ; 541.44104 ; 6 ; 0.158805 ; 0.042326 ; 0.892085 ; -18.658 ; 0.965818 ; 0.210362 ; 0.068649 ; Islamey, Oriental Fantasy ; Mily Balakirev ; classical
3 ; 0.001545 ; 0.222128 ; 78.346 ; 74.69832 ; 4 ; 0.179002 ; 0.036739 ; 0.0 ; -34.837 ; 0.845714 ; 0.135155 ; 0.200392 ; Stabat Mater ; Giovanni Battista Pergolesi ; classical
4 ; 0.033818 ; 0.379306 ; 88.972 ; 735.26667 ; 4 ; 0.050156 ; 0.069629 ; 0.005934 ; -20.096 ; 0.914934 ; 0.161805 ; 0.102272 ; Dance of the Hours from the opera "La Gioconda" ; Leopold Stokowski ; classical
3 ; 0.134657 ; 0.330447 ; 70.098 ; 332.28 ; 5 ; 0.171185 ; 0.037873 ; 0.93253 ; -18.077 ; 0.971416 ; 0.203911 ; 0.114513 ; Trittico botticelliano, P. 151: I. La primavera ; Ottorino Respighi ; classical
4 ; 0.339741 ; 0.438175 ; 133.008 ; 148.36 ; 0 ; 0.71686 ; 0.037185 ; 0.034024 ; -14.354 ; 0.690784 ; 0.539361 ; 0.070213 ; Concerto Grosso in C Major, Op. 6, No. 10: V. Allegro ; Arcangelo Corelli ; classical
3 ; 0.014802 ; 0.472352 ; 136.151 ; 223.50417 ; 9 ; 0.124765 ; 0.047592 ; 0.937791 ; -24.419 ; 0.988755 ; 0.153654 ; 0.102745 ; Homenaje "Pour le tombeau de Claude Debussy" ; Manuel de Falla ; classical
4 ; 0.125606 ; 0.379836 ; 133.694 ; 402.33333 ; 2 ; 0.188803 ; 0.043105 ; 0.388302 ; -19.138 ; 0.960859 ; 0.154329 ; 0.114513 ; String Quartet No. 61 in D Minor, Op. 76, No. 2, Hob.III:76, "Fifths": I. Allegro ; Franz Joseph Haydn ; classical
4 ; 0.095929 ; 0.330579 ; 141.41 ; 231.69333 ; 7 ; 0.109751 ; 0.041219 ; 0.907411 ; -25.699 ; 0.990429 ; 0.108768 ; 0.088837 ; Walking Tune ; Percy Grainger ; classical
4 ; 0.007438 ; 0.077433 ; 65.098 ; 150.26667 ; 5 ; 0.091237 ; 0.049014 ; 0.844874 ; -26.592 ; 0.994608 ; 0.169458 ; 0.286873 ; Traumerei ; Robert Schumann ; classical
3 ; 0.203557 ; 0.32126 ; 95.069 ; 435.2 ; 6 ; 0.084696 ; 0.041857 ; 0.380552 ; -15.414 ; 0.937046 ; 0.354508 ; 0.0 ; Violin Concerto No. 1 in F-Sharp Minor, Op. 14: III. Rondo - Allegro giocoso ; Henryk Wieniawski ; classical
1 ; 0.052007 ; 0.081527 ; 72.719 ; 684.49333 ; 10 ; 0.099239 ; 0.044976 ; 0.707652 ; -21.815 ; 0.939207 ; 0.032341 ; 0.112883 ; Contemplazione ; Alfredo Catalani ; classical
3 ; 0.454332 ; 0.450367 ; 154.142 ; 121.15746 ; 11 ; 0.275158 ; 0.058491 ; 0.816211 ; -11.46 ; 0.640438 ; 0.354095 ; 0.251287 ; The Thieving Magpie ; Gioachino Rossini ; classical
4 ; 0.947 ; 0.823914 ; 99.934 ; 252.34168 ; 0 ; 0.081192 ; 0.058127 ; 0.789823 ; -6.67 ; 0.060367 ; 0.852837 ; 0.068649 ; Bisol ; Barber ; classical
4 ; 0.57331 ; 0.210298 ; 157.176 ; 232.02667 ; 3 ; 0.091913 ; 0.056932 ; 0.919338 ; -11.301 ; 0.725487 ; 0.17876 ; 0.354895 ; 1812 Overture Op.49 - Finale ; Pyotr Ilyich Tchaikovsky ; classical
4 ; 0.200514 ; 0.114087 ; 91.411 ; 210.75882 ; 5 ; 0.354325 ; 0.036781 ; 0.86165 ; -15.458 ; 0.227636 ; 0.038562 ; 0.0 ; Mascagni: Cavalleria Rusticana (Rustic Chivalry) Opera: Intermezzo ; Pietro Mascagni ; classical
4 ; 0.309391 ; 0.36395 ; 130.818 ; 94.50667 ; 3 ; 0.231772 ; 0.031737 ; 0.492978 ; -10.689 ; 0.651035 ; 0.641485 ; 0.048786 ; Main Title ; Erich Wolfgang Korngold ; classical
3 ; 0.028673 ; 0.120866 ; 93.433 ; 580.2 ; 7 ; 0.061795 ; 0.040507 ; 0.771 ; -30.502 ; 0.961987 ; 0.037491 ; 0.102861 ; Scheherazade, Op. 35: III. The Young Prince and the Young Princess ; Nikolai Rimsky-Korsakov ; classical
4 ; 0.307619 ; 0.235812 ; 98.236 ; 745.73333 ; 1 ; 0.104469 ; 0.041122 ; 0.738933 ; -18.833 ; 0.639866 ; 0.09232 ; 0.326326 ; Alexander Nevsky, Op. 78 : 5. The Battle on Ice ; Sergei Prokofiev ; classical
4 ; 0.027636 ; 0.556717 ; 75.724 ; 148.74585 ; 9 ; 0.095158 ; 0.061532 ; 0.930486 ; -21.67 ; 0.994462 ; 0.423801 ; 0.279255 ; Gymnopedie No. 3 ; Erik Satie ; classical
4 ; 0.184201 ; 0.211631 ; 106.445 ; 176.22204 ; 2 ; 0.099584 ; 0.042954 ; 0.608762 ; -18.877 ; 0.99322 ; 0.065658 ; 0.275935 ; Nabucco: Chorus of the Hebrew Slaves ; Giuseppe Verdi ; classical
3 ; 0.012079 ; 0.138185 ; 95.1 ; 250.0 ; 10 ; 0.120093 ; 0.04417 ; 0.833414 ; -25.735 ; 0.983004 ; 0.064796 ; 0.230777 ; Clarinet Concerto in B flat major (reconstructed R. Meylan): I. Andante sostenuto ; Gaetano Donizetti ; classical
4 ; 0.077949 ; 0.333152 ; 135.537 ; 556.97705 ; 2 ; 0.293411 ; 0.043005 ; 0.553141 ; -20.909 ; 0.944552 ; 0.150804 ; 0.295586 ; Die Fledermaus: Overture ; Johann Strauss II ; classical
4 ; 0.218102 ; 0.269355 ; 89.08 ; 742.0 ; 9 ; 0.106296 ; 0.045756 ; 0.864187 ; -21.131 ; 0.961791 ; 0.095219 ; 0.100569 ; 2 Romanian Rhapsodies, Op. 11 *: Romanian Rhapsody No. 1 in A Major, Op. 11 ; George Enescu ; classical
4 ; 0.169392 ; 0.417994 ; 101.809 ; 224.19955 ; 6 ; 0.142841 ; 0.095326 ; 0.000327 ; -17.262 ; 0.979512 ; 0.471044 ; 0.140825 ; Le postillon de Lonjumeau ; Adolphe Adam ; classical
4 ; 0.189813 ; 0.129367 ; 78.658 ; 761.04 ; 9 ; 0.262596 ; 0.046905 ; 0.716952 ; -17.869 ; 0.887253 ; 0.049954 ; 0.070213 ; Scheherazade, Op. 35: IV. Festival at Baghdad - The Sea ; Nikolai Rimsky-Korsakov ; classical
4 ; 0.071473 ; 0.160027 ; 77.0 ; 228.64 ; 7 ; 0.137072 ; 0.043409 ; 0.634077 ; -25.82 ; 0.987174 ; 0.037052 ; 0.070213 ; Cavalleria Rusticana: Beato voi, compar Alfio ; Pietro Mascagni ; classical
3 ; 0.311859 ; 0.302966 ; 138.606 ; 182.44 ; 7 ; 0.150742 ; 0.036649 ; 0.845315 ; -20.251 ; 0.902223 ; 0.56236 ; 0.394172 ; The Four Seasons: Concerto No. 2 In G Minor, RV 315, "Summer": III. Presto ; Antonio Vivaldi ; classical
4 ; 0.171721 ; 0.481433 ; 93.917 ; 127.0 ; 2 ; 0.081116 ; 0.043745 ; 0.887657 ; -19.706 ; 0.885164 ; 0.322816 ; 0.060005 ; Giselle, Act I: Waltz ; Adolphe Adam ; classical
3 ; 0.371685 ; 0.716579 ; 98.127 ; 106.95955 ; 7 ; 0.090484 ; 0.090162 ; 0.716296 ; -12.902 ; 0.798066 ; 0.21757 ; 0.27531 ; Brahms Lullaby ; Johannes Brahms ; classical
1 ; 0.126829 ; 0.58571 ; 99.368 ; 90.72 ; 5 ; 0.271407 ; 0.036068 ; 0.009593 ; -15.409 ; 0.778884 ; 0.543848 ; 0.102861 ; Concerto Grosso In F Major, Op. 6, No. 9: VI. Minuetto: Vivace ; Arcangelo Corelli ; classical
4 ; 0.140707 ; 0.257136 ; 110.843 ; 687.69333 ; 10 ; 0.115401 ; 0.036573 ; 0.874296 ; -18.003 ; 0.789786 ; 0.043833 ; 0.188182 ; Symphony No. 5 in D Minor, Op. 47: IV. Allegro non troppo ; Dmitri Shostakovich ; classical
4 ; 0.041015 ; 0.137047 ; 70.859 ; 375.14984 ; 5 ; 0.322529 ; 0.041248 ; 0.540549 ; -25.002 ; 0.703813 ; 0.031376 ; 0.070213 ; Cantus In Memoriam Benjamin Britten ; English Chamber Orchestra ; classical
3 ; 0.145309 ; 0.075049 ; 79.817 ; 320.70667 ; 0 ; 0.115963 ; 0.036157 ; 0.864734 ; -20.839 ; 0.542926 ; 0.052994 ; 0.361703 ; Air On A G String ; Johann Sebastian Bach ; classical
4 ; 0.360003 ; 0.302682 ; 82.813 ; 187.46667 ; 7 ; 0.407192 ; 0.033311 ; 0.938787 ; -15.622 ; 0.943765 ; 0.304484 ; 0.23576 ; Lohengrin Prelude to Act III ; Richard Wagner ; classical
